ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_ud,1,"(25, 310)","(65, 310)","(25, 330)","(65, 330)"
000001,descripcio,FILETS SEITÓ,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000001,import,"3,25","(430, 310)","(475, 310)","(430, 330)","(475, 330)"
000001,quantitat_ud,1,"(25, 330)","(65, 330)","(25, 350)","(65, 350)"
000001,descripcio,GAMBA ARROSSERA,"(65, 330)","(265, 330)","(65, 350)","(265, 350)"
000001,import,"1,192,46","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000001,quantitat_ud,1,"(25, 350)","(65, 350)","(25, 370)","(65, 370)"
000001,descripcio,WHISKY ESCOCÈS,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000001,import,"30,79","(430, 350)","(475, 350)","(430, 370)","(475, 370)"
000001,quantitat_ud,3,"(25, 370)","(65, 370)","(25, 390)","(65, 390)"
000001,descripcio,ROVELLS,"(65, 370)","(265, 370)","(65, 390)","(265, 390)"
000001,preu_unitari,"1,38","(307.5, 370)","(377.5, 370)","(307.5, 390)","(377.5, 390)"
000001,import,"4,12","(430, 370)","(475, 370)","(430, 390)","(475, 390)"
000001,quantitat_ud,1,"(25, 390)","(65, 390)","(25, 410)","(65, 410)"
000001,descripcio,ESPATLLA XAI,"(65, 390)","(265, 390)","(65, 410)","(265, 410)"
000001,import,"13,07","(430, 390)","(475, 390)","(430, 410)","(475, 410)"
000001,total,"1,243,69","(400, 430)","(475, 430)","(400, 450)","(475, 450)"
000002,quantitat_ud,1,"(25, 310)","(65, 310)","(25, 330)","(65, 330)"
000002,descripcio,BARRA,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000002,import,"1,26","(430, 310)","(475, 310)","(430, 330)","(475, 330)"
000002,quantitat_ud,1,"(25, 330)","(65, 330)","(25, 350)","(65, 350)"
000002,descripcio,PIT GALL DINDI,"(65, 330)","(265, 330)","(65, 350)","(265, 350)"
000002,import,"3,29","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000002,quantitat_ud,3,"(25, 350)","(65, 350)","(25, 370)","(65, 370)"
000002,descripcio,AMPOLLES LIPO,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000002,preu_unitari,"4,35","(307.5, 350)","(377.5, 350)","(307.5, 370)","(377.5, 370)"
000002,import,"13,04","(430, 350)","(475, 350)","(430, 370)","(475, 370)"
000002,quantitat_ud,4,"(25, 370)","(65, 370)","(25, 390)","(65, 390)"
000002,descripcio,BEGUDA LÀCTIA,"(65, 370)","(265, 370)","(65, 390)","(265, 390)"
000002,preu_unitari,"1,38","(307.5, 370)","(377.5, 370)","(307.5, 390)","(377.5, 390)"
000002,import,"5,50","(430, 370)","(475, 370)","(430, 390)","(475, 390)"
000002,quantitat_ud,1,"(25, 390)","(65, 390)","(25, 410)","(65, 410)"
000002,descripcio,ARRÒS PRECUIT,"(65, 390)","(265, 390)","(65, 410)","(265, 410)"
000002,import,"1,72","(430, 390)","(475, 390)","(430, 410)","(475, 410)"
000002,total,"24,80","(400, 430)","(475, 430)","(400, 450)","(475, 450)"
000003,quantitat_ud,3,"(25, 310)","(65, 310)","(25, 330)","(65, 330)"
000003,descripcio,LLET,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000003,preu_unitari,"1,56","(307.5, 310)","(377.5, 310)","(307.5, 330)","(377.5, 330)"
000003,import,"4,68","(430, 310)","(475, 310)","(430, 330)","(475, 330)"
000003,quantitat_ud,1,"(25, 330)","(65, 330)","(25, 350)","(65, 350)"
000003,descripcio,PERNIL DOLÇ NOEL,"(65, 330)","(265, 330)","(65, 350)","(265, 350)"
000003,import,"2,48","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000003,quantitat_ud,4,"(25, 350)","(65, 350)","(25, 370)","(65, 370)"
000003,descripcio,REFRESC GUST,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000003,preu_unitari,"0,30","(307.5, 350)","(377.5, 350)","(307.5, 370)","(377.5, 370)"
000003,import,"1,19","(430, 350)","(475, 350)","(430, 370)","(475, 370)"
000003,quantitat_ud,1,"(25, 370)","(65, 370)","(25, 390)","(65, 390)"
000003,descripcio,TALLS FETGE,"(65, 370)","(265, 370)","(65, 390)","(265, 390)"
000003,import,"4,17","(430, 370)","(475, 370)","(430, 390)","(475, 390)"
000003,quantitat_ud,1,"(25, 390)","(65, 390)","(25, 410)","(65, 410)"
000003,descripcio,LLONGANISSA EXTRA,"(65, 390)","(265, 390)","(65, 410)","(265, 410)"
000003,import,"1,43","(430, 390)","(475, 390)","(430, 410)","(475, 410)"
000003,total,"13,94","(400, 430)","(475, 430)","(400, 450)","(475, 450)"
000004,quantitat_ud,4,"(25, 310)","(65, 310)","(25, 330)","(65, 330)"
000004,descripcio,PETIT GUST,"(65, 310)","(265, 310)","(65, 330)","(265, 330)"
000004,preu_unitari,"0,73","(307.5, 310)","(377.5, 310)","(307.5, 330)","(377.5, 330)"
000004,import,"2,91","(430, 310)","(475, 310)","(430, 330)","(475, 330)"
000004,quantitat_ud,1,"(25, 330)","(65, 330)","(25, 350)","(65, 350)"
000004,descripcio,GELAT MENTA XOCO,"(65, 330)","(265, 330)","(65, 350)","(265, 350)"
000004,import,"2,74","(430, 330)","(475, 330)","(430, 350)","(475, 350)"
000004,quantitat_ud,1,"(25, 350)","(65, 350)","(25, 370)","(65, 370)"
000004,descripcio,XORIÇO EXTRA,"(65, 350)","(265, 350)","(65, 370)","(265, 370)"
000004,import,"1,10","(430, 350)","(475, 350)","(430, 370)","(475, 370)"
000004,quantitat_ud,1,"(25, 370)","(65, 370)","(25, 390)","(65, 390)"
000004,descripcio,GAMBOT DIMAROSA,"(65, 370)","(265, 370)","(65, 390)","(265, 390)"
000004,import,"69,25","(430, 370)","(475, 370)","(430, 390)","(475, 390)"
000004,quantitat_ud,1,"(25, 390)","(65, 390)","(25, 410)","(65, 410)"
000004,descripcio,NETEJAVIDRES,"(65, 390)","(265, 390)","(65, 410)","(265, 410)"
000004,import,"1,29","(430, 390)","(475, 390)","(430, 410)","(475, 410)"
000004,total,"77,29","(400, 430)","(475, 430)","(400, 450)","(475, 450)"
