ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_kg,0.539,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000001,descripcio,PATATES TALL,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000001,preu_unitari,"1,20","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000001,import,"0,64","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000001,quantitat_kg,0.119,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000001,descripcio,VERDURES SALTADES,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000001,preu_unitari,"2,42","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000001,import,"0,29","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000001,quantitat_kg,0.979,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000001,descripcio,COLIFLOR,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000001,preu_unitari,"1,34","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000001,import,"1,31","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000001,quantitat_kg,1.179,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000001,descripcio,SAMFAINA,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000001,preu_unitari,"4,64","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000001,import,"5,48","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000001,quantitat_kg,1.121,"(74, 180)","(134, 180)","(74, 200)","(134, 200)"
000001,descripcio,EDAMAME BEINES,"(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000001,preu_unitari,"3,52","(282.5, 180)","(352.5, 180)","(282.5, 200)","(352.5, 200)"
000001,import,"3,95","(405, 180)","(450, 180)","(405, 200)","(450, 200)"
000001,total,"11,67","(375, 220)","(450, 220)","(375, 240)","(450, 240)"
000002,quantitat_kg,0.268,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000002,descripcio,MENTA,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000002,preu_unitari,"18,07","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000002,import,"4,84","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000002,quantitat_kg,1.114,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000002,descripcio,CROQUETES,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000002,preu_unitari,"4,72","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000002,import,"5,26","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000002,quantitat_kg,0.395,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000002,descripcio,CARXOFA BABY,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000002,preu_unitari,"9,18","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000002,import,"3,63","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000002,quantitat_kg,0.728,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000002,descripcio,PATATES FORN,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000002,preu_unitari,"1,87","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000002,import,"1,36","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000002,quantitat_kg,0.333,"(74, 180)","(134, 180)","(74, 200)","(134, 200)"
000002,descripcio,"COLIFLOR, BRÒCOLI","(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000002,preu_unitari,"1,92","(282.5, 180)","(352.5, 180)","(282.5, 200)","(352.5, 200)"
000002,import,"0,64","(405, 180)","(450, 180)","(405, 200)","(450, 200)"
000002,total,"15,73","(375, 220)","(450, 220)","(375, 240)","(450, 240)"
000003,quantitat_kg,0.985,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000003,descripcio,VERDURES ROSTIDES,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000003,preu_unitari,"4,12","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000003,import,"4,06","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000003,quantitat_kg,1.111,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000003,descripcio,ESPINAC,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000003,preu_unitari,"1,74","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000003,import,"1,93","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000003,quantitat_kg,1.428,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000003,descripcio,CROQUETES,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000003,preu_unitari,"4,72","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000003,import,"6,74","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000003,quantitat_kg,0.351,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000003,descripcio,VERDURA,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000003,preu_unitari,"4,16","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000003,import,"1,46","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000003,quantitat_kg,1.369,"(74, 180)","(134, 180)","(74, 200)","(134, 200)"
000003,descripcio,MINESTRA ESPECIAL,"(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000003,preu_unitari,"2,07","(282.5, 180)","(352.5, 180)","(282.5, 200)","(352.5, 200)"
000003,import,"2,83","(405, 180)","(450, 180)","(405, 200)","(450, 200)"
000003,total,"17,02","(375, 220)","(450, 220)","(375, 240)","(450, 240)"
000004,quantitat_kg,0.589,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000004,descripcio,ROTLLETS PETITS,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000004,preu_unitari,"5,50","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000004,import,"3,23","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000004,quantitat_kg,0.741,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000004,descripcio,BLEDA PORCIONS,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000004,preu_unitari,"1,74","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000004,import,"1,29","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000004,quantitat_kg,0.149,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000004,descripcio,PASTANAGA,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000004,preu_unitari,"1,24","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000004,import,"0,19","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000004,quantitat_kg,1.129,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000004,descripcio,FAVA BABY,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000004,preu_unitari,"3,79","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000004,import,"4,27","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000004,quantitat_kg,1.221,"(74, 180)","(134, 180)","(74, 200)","(134, 200)"
000004,descripcio,POLLASTRE SALTAT,"(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000004,preu_unitari,"4,40","(282.5, 180)","(352.5, 180)","(282.5, 200)","(352.5, 200)"
000004,import,"5,37","(405, 180)","(450, 180)","(405, 200)","(450, 200)"
000004,total,"14,35","(375, 220)","(450, 220)","(375, 240)","(450, 240)"
000005,quantitat_kg,0.55,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000005,descripcio,ROTLLES PRIMAVERA,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000005,preu_unitari,"5,50","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000005,import,"3,03","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000005,quantitat_kg,0.169,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000005,descripcio,ENSALADA,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000005,preu_unitari,"0,78","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000005,import,"0,14","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000005,quantitat_kg,1.002,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000005,descripcio,ANELLES CEBA,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000005,preu_unitari,"6,41","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000005,import,"6,42","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000005,quantitat_kg,0.729,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000005,descripcio,GRAELLADA,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000005,preu_unitari,"3,30","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000005,import,"2,41","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000005,quantitat_kg,0.918,"(74, 180)","(134, 180)","(74, 200)","(134, 200)"
000005,descripcio,ALL TROSSEJAT,"(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000005,preu_unitari,"7,56","(282.5, 180)","(352.5, 180)","(282.5, 200)","(352.5, 200)"
000005,import,"6,94","(405, 180)","(450, 180)","(405, 200)","(450, 200)"
000005,total,"18,93","(375, 220)","(450, 220)","(375, 240)","(450, 240)"
