ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_kg,0.705,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000001,descripcio,BOLETS SALTATS,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000001,preu_unitari,"3,67","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000001,import,"2,59","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000001,quantitat_kg,0.796,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000001,descripcio,FARCIMENT FAJITES,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000001,preu_unitari,"4,95","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000001,import,"3,94","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000001,quantitat_kg,0.605,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000001,descripcio,CARXOFA,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000001,preu_unitari,"4,50","(282.5, 100)","(352.5, 100)","(282.5, 120)","(352.5, 120)"
000001,import,"2,72","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000001,quantitat_kg,0.279,"(74, 140)","(134, 140)","(74, 160)","(134, 160)"
000001,descripcio,BRÒCOLI HACENDADO,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000001,preu_unitari,"1,55","(282.5, 140)","(352.5, 140)","(282.5, 160)","(352.5, 160)"
000001,import,"0,44","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000001,total,"9,69","(375, 180)","(450, 180)","(375, 200)","(450, 200)"
000002,quantitat_kg,0.445,"(74, 20)","(134, 20)","(74, 40)","(134, 40)"
000002,descripcio,ESPINAC FULLA,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000002,preu_unitari,"1,24","(282.5, 20)","(352.5, 20)","(282.5, 40)","(352.5, 40)"
000002,import,"0,55","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000002,quantitat_kg,0.598,"(74, 60)","(134, 60)","(74, 80)","(134, 80)"
000002,descripcio,XAMPINYÓ LAMINAT,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000002,preu_unitari,"5,20","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000002,import,"3,11","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000002,quantitat_kg,1.309,"(74, 100)","(134, 100)","(74, 120)","(134, 120)"
000002,descripcio,ROTLLES PRIMAVERA,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
