ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000001,descripcio,NAVALLES,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000001,import,"4,07","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000001,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000001,descripcio,LLOM BOVÍ,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000001,import,"3,04","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000001,quantitat_ud,1,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000001,descripcio,LLOMS TONYINA,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000001,import,"2,95","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000001,quantitat_ud,1,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000001,descripcio,MEDALLONS FILET,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000001,import,"3,25","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000001,quantitat_ud,2,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000001,descripcio,COSTELLA PORC,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000001,preu_unitari,"3,85","(282.5, 80)","(352.5, 80)","(282.5, 100)","(352.5, 100)"
000001,import,"7,70","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000001,total,"21,00","(375, 120)","(450, 120)","(375, 140)","(450, 140)"
000002,quantitat_ud,5,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000002,descripcio,IOGURT BÍFIDUS,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000002,preu_unitari,"0,88","(282.5, 0)","(352.5, 0)","(282.5, 20)","(352.5, 20)"
000002,import,"4,40","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000002,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000002,descripcio,LLOM BOVÍ,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000002,import,"3,04","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000002,quantitat_ud,1,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000002,descripcio,XORIÇO IBÈRIC,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000002,import,"2,18","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000002,quantitat_ud,1,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000002,descripcio,CREMA MANS,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000002,import,"2,42","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000002,quantitat_ud,1,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000002,descripcio,SAL RENTAPLATS,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000002,import,"1,69","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000002,total,"13,73","(375, 120)","(450, 120)","(375, 140)","(450, 140)"
000003,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000003,descripcio,NATA MUNTADA,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000003,import,"1,42","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000003,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000003,descripcio,TALLS FETGE,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000003,import,"3,69","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000003,quantitat_ud,4,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000003,descripcio,FORMATGE RATLLAT,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000003,preu_unitari,"1,87","(282.5, 40)","(352.5, 40)","(282.5, 60)","(352.5, 60)"
000003,import,"7,49","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000003,quantitat_ud,1,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000003,descripcio,GELAT MINI CORNET,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000003,import,"3,14","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000003,quantitat_ud,1,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000003,descripcio,LASANYA,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000003,import,"2,25","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000003,total,"17,98","(375, 120)","(450, 120)","(375, 140)","(450, 140)"
000004,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000004,descripcio,PERNIL DOLÇ,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000004,import,"2,15","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000004,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000004,descripcio,ARRÒS AMB,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000004,import,"1,93","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
