ticket_id,etiqueta,value,b_1,b_2,b_3,b_4
000001,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000001,descripcio,CLOÏSSA DEL,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000001,import,"1,98","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000001,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000001,descripcio,BAGUET TONYINA,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000001,import,"2,08","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000001,quantitat_ud,1,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000001,descripcio,BROU CASOLÀ,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000001,import,"1,98","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000001,quantitat_ud,5,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000001,descripcio,COLÒNIA DONA 9.60,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000001,preu_unitari,"4,72","(282.5, 60)","(352.5, 60)","(282.5, 80)","(352.5, 80)"
000001,import,"23,59","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
000001,quantitat_ud,1,"(0, 80)","(40, 80)","(0, 100)","(40, 100)"
000001,descripcio,COLÒNIA HOME COMO,"(40, 80)","(240, 80)","(40, 100)","(240, 100)"
000001,import,"8,47","(405, 80)","(450, 80)","(405, 100)","(450, 100)"
000001,quantitat_ud,1,"(0, 100)","(40, 100)","(0, 120)","(40, 120)"
000001,descripcio,FORMATGE TOU,"(40, 100)","(240, 100)","(40, 120)","(240, 120)"
000001,import,"2,48","(405, 100)","(450, 100)","(405, 120)","(450, 120)"
000001,quantitat_ud,1,"(0, 120)","(40, 120)","(0, 140)","(40, 140)"
000001,descripcio,COMPRESA AMB ALES,"(40, 120)","(240, 120)","(40, 140)","(240, 140)"
000001,import,"44,00","(405, 120)","(450, 120)","(405, 140)","(450, 140)"
000001,quantitat_ud,1,"(0, 140)","(40, 140)","(0, 160)","(40, 160)"
000001,descripcio,BEIXAMEL HACENDADO,"(40, 140)","(240, 140)","(40, 160)","(240, 160)"
000001,import,"1,71","(405, 140)","(450, 140)","(405, 160)","(450, 160)"
000001,quantitat_ud,1,"(0, 160)","(40, 160)","(0, 180)","(40, 180)"
000001,descripcio,PASTÍS INFANTIL,"(40, 160)","(240, 160)","(40, 180)","(240, 180)"
000001,import,"7,70","(405, 160)","(450, 160)","(405, 180)","(450, 180)"
000001,total,"93,98","(375, 200)","(450, 200)","(375, 220)","(450, 220)"
000002,quantitat_ud,1,"(0, 0)","(40, 0)","(0, 20)","(40, 20)"
000002,descripcio,CREMA SUAVITZANT,"(40, 0)","(240, 0)","(40, 20)","(240, 20)"
000002,import,"1,57","(405, 0)","(450, 0)","(405, 20)","(450, 20)"
000002,quantitat_ud,1,"(0, 20)","(40, 20)","(0, 40)","(40, 40)"
000002,descripcio,MÀSCARA CABELLS,"(40, 20)","(240, 20)","(40, 40)","(240, 40)"
000002,import,"2,90","(405, 20)","(450, 20)","(405, 40)","(450, 40)"
000002,quantitat_ud,1,"(0, 40)","(40, 40)","(0, 60)","(40, 60)"
000002,descripcio,BOU MAR CUIT,"(40, 40)","(240, 40)","(40, 60)","(240, 60)"
000002,import,"9,24","(405, 40)","(450, 40)","(405, 60)","(450, 60)"
000002,quantitat_ud,1,"(0, 60)","(40, 60)","(0, 80)","(40, 80)"
000002,descripcio,MORTADEL·LA AMB,"(40, 60)","(240, 60)","(40, 80)","(240, 80)"
000002,import,"2,20","(405, 60)","(450, 60)","(405, 80)","(450, 80)"
